max_depth,eta,subsample,colsample_bytree,colsample_bylevel,lambdaX,gamma,ROCtest,ROCtrain-test,PRtest,PRtrain-PRtest
7.0,0.09,0.5,0.7,0.8,0.4,5.0,0.896289356984479,0.09825076219512185,0.543978005604959,0.4015879193764387
8.0,0.08,0.6,0.5,0.8,0.9,7.0,0.8987305986696231,0.08434111696230584,0.5501054863248541,0.3272548230040063
6.0,0.04,0.4,0.9,0.7,0.8,8.0,0.8932749445676273,0.07132885254988919,0.5349660264752112,0.24279680296858586
3.0,0.07,0.7,0.9,0.7,0.9,6.0,0.8958115299334812,0.06659922394678497,0.5551808050456405,0.2376213935392334
7.0,0.08,0.9,0.9,0.7,0.2,6.0,0.9002017738359201,0.09607455654101982,0.5587884145451886,0.4015030125990121
5.0,0.03,0.5,0.5,0.7,0.8,8.0,0.8903281596452327,0.06813241407982262,0.5295604839524359,0.23023706421154422
7.0,0.04,0.8,0.7,0.7,0.5,4.0,0.9079789356984479,0.09096909645232809,0.5622646156133191,0.42511941505665707
4.0,0.07,0.5,0.7,0.9,0.3,7.0,0.8989345898004435,0.0753167267184035,0.5480609489725101,0.2935445252283837
3.0,0.03,0.7,0.7,0.9,0.4,5.0,0.8862882483370289,0.05271154379157428,0.5343695765265268,0.19838933852426233
5.0,0.05,0.9,0.6,0.6,0.6,6.0,0.900921286031042,0.08591920731707314,0.5554302732716871,0.3402976428621115
4.0,0.01,0.5,0.9,0.7,0.5,5.0,0.8835609756097561,0.051601510532150785,0.5274568889974348,0.2137440230108938
7.0,0.08,0.5,0.5,1.0,0.8,4.0,0.898890243902439,0.09421355321507774,0.5414804572005953,0.4046754454587833
3.0,0.02,0.6,0.9,0.9,0.9,4.0,0.8935731707317073,0.06444699279379162,0.5476608848154512,0.23592942681786133
6.0,0.04,0.8,0.5,0.6,0.9,4.0,0.8983470066518848,0.07855695676274932,0.5446737756726978,0.37190841703917443
3.0,0.02,0.9,0.5,0.8,0.4,8.0,0.8881518847006653,0.052784090909090864,0.5299736736454321,0.1835303108528349
3.0,0.09,0.6,0.8,0.9,0.5,6.0,0.8923769401330375,0.06631139135255015,0.5552965473228627,0.22523169188876035
5.0,0.08,0.9,0.7,1.0,0.1,7.0,0.8987660753880267,0.0798000277161861,0.5472292766476236,0.329328105107621
4.0,0.08,0.4,0.8,0.6,0.2,7.0,0.8850742793791573,0.08026919345898031,0.5329651908754771,0.2611280268775137
4.0,0.06,0.4,0.8,0.9,0.4,6.0,0.8942760532150776,0.07494609201773839,0.5402334988780831,0.2787670402506933
5.0,0.06,0.6,0.8,1.0,0.3,6.0,0.9065709534368072,0.08590562638580934,0.5663104482096102,0.3549928836622087
3.0,0.03,0.7,0.7,0.7,0.4,8.0,0.8655532150776054,0.046433411862527696,0.5064193462293168,0.15260330790104593
5.0,0.09,0.4,0.5,0.6,1.0,6.0,0.8847860310421286,0.08080737250554326,0.5072644326216369,0.2853159453537579
6.0,0.02,0.9,0.8,0.7,0.3,5.0,0.9058924611973392,0.08962749445676277,0.5571623266521416,0.3970152902596821
7.0,0.07,0.8,0.8,0.9,0.8,6.0,0.9043747228381374,0.08859201773835934,0.5520434109488269,0.38413659937845934
5.0,0.01,0.9,0.8,1.0,0.3,5.0,0.9012117516629712,0.08267322616407968,0.5508787989359728,0.34481340636316415
3.0,0.02,0.8,0.5,1.0,1.0,7.0,0.8760166297117516,0.03677348946784931,0.5129782053725249,0.1415063188172332
8.0,0.03,0.7,0.6,0.8,0.3,8.0,0.8924767184035476,0.07172664911308213,0.5341639927779769,0.2821359772105948
6.0,0.06,0.9,0.7,0.6,1.0,6.0,0.9024456762749444,0.08047533259423512,0.5541171554309042,0.33013399467265603
3.0,0.08,0.5,0.5,1.0,0.1,4.0,0.8912416851441242,0.09274154656319289,0.5445069642201779,0.33881016446653733
7.0,0.1,0.8,0.9,0.7,0.5,5.0,0.9016031042128603,0.08972172949002233,0.5567491502381874,0.3868934180036736
3.0,0.04,0.5,0.7,0.7,0.9,4.0,0.8909833702882481,0.07573281596452353,0.5400940545837631,0.2651430179336245
8.0,0.08,0.5,0.9,0.7,0.7,8.0,0.8896341463414634,0.08347498614190685,0.5371115206715998,0.2827446945477027
5.0,0.06,0.9,0.6,0.8,0.3,6.0,0.9038015521064302,0.08619872505543236,0.5510153026104222,0.36022596833028786
3.0,0.09,0.4,0.6,1.0,0.2,6.0,0.8916696230598671,0.07552452882483363,0.5259967636759402,0.27066878437043007
5.0,0.09,0.5,0.9,0.7,0.8,6.0,0.8960155210643016,0.0846076080931264,0.5556678275627991,0.30594479815678144
4.0,0.07,0.9,0.9,0.9,0.2,6.0,0.9002827050997781,0.08258682095343706,0.5491802658522185,0.31830694196818987
6.0,0.08,0.5,0.8,0.7,0.7,6.0,0.8998569844789357,0.08136231984478937,0.5532686628138205,0.3153691749534516
6.0,0.01,0.5,0.9,0.8,0.4,5.0,0.8679135254988914,0.055575249445676156,0.4987255822581519,0.23260657404568863
6.0,0.09,0.5,0.9,0.9,0.4,4.0,0.8956019955654101,0.095717849223947,0.5381037594690171,0.39751211568776734
3.0,0.1,0.5,0.5,0.8,1.0,5.0,0.8899689578713967,0.07422685698447917,0.5397897196200001,0.2559881107718609
7.0,0.02,0.9,0.9,0.9,1.0,7.0,0.8999911308203989,0.05850554323725077,0.542116001913008,0.2667518627247071
4.0,0.05,0.4,0.5,0.6,1.0,7.0,0.8795554323725054,0.053293375831485634,0.5107607392394471,0.16501924184960237
6.0,0.05,0.4,0.5,0.9,0.7,7.0,0.8971119733924612,0.0700823863636365,0.5309378331116047,0.2587935828509288
3.0,0.02,0.4,0.8,0.9,0.2,6.0,0.86240133037694,0.040384908536585495,0.49306685935000516,0.1410872466285511
6.0,0.06,0.5,0.9,0.9,0.7,7.0,0.8946563192904655,0.08206173780487824,0.5561203448011416,0.2799911400014048
4.0,0.01,0.9,0.6,0.8,0.6,8.0,0.8835676274944568,0.04802771618625279,0.5215004209761847,0.18509617079041163
8.0,0.08,0.5,0.7,1.0,0.3,5.0,0.8973215077605321,0.09852217294900234,0.5521438951293627,0.40327902563661766
5.0,0.02,0.9,0.5,0.7,0.8,8.0,0.8928392461197341,0.06990451773835904,0.5391191777652532,0.24807221053088657
7.0,0.09,0.5,0.9,0.6,0.9,6.0,0.9026385809312638,0.08845142738359202,0.5539317572705713,0.3622146869406876
6.0,0.02,0.8,0.8,0.8,0.4,7.0,0.8793547671840354,0.056440548780487876,0.5246855910704207,0.24603225808785556
5.0,0.07,0.5,0.9,0.6,0.1,5.0,0.8970964523281596,0.09503526884700675,0.5442194865690538,0.38496301092193264
7.0,0.04,0.9,0.7,0.8,0.5,7.0,0.9031485587583148,0.08578852549889149,0.5531158520100432,0.3536478584853482
3.0,0.08,0.7,0.5,0.9,0.8,4.0,0.8937050997782704,0.07018077882483376,0.5537524849681561,0.2581000980307636
8.0,0.07,0.9,0.5,0.8,0.9,8.0,0.9037394678492239,0.07972657982261655,0.564066262442042,0.31000330888248884
8.0,0.02,0.5,0.6,0.7,0.8,4.0,0.8998259423503325,0.08524792128603098,0.5439082324961337,0.3612012055121778
5.0,0.01,0.7,0.9,0.6,0.4,7.0,0.8594279379157428,0.05007608093126392,0.49561295733431754,0.1887274420630347
7.0,0.05,0.9,0.6,0.7,0.8,8.0,0.9012195121951219,0.08225685975609776,0.556311687393561,0.316722923599168
